idx,className,methodName,time0,time1,childRefs
112,io.github.tt432.eyelib.molang.MolangScope,get,4.0,0.0,[]
113,io.github.tt432.eyelib.molang.MolangScope,get,4.0,0.0,[112]
114,io.github.tt432.eyelib.molang.compiler.MolangRuntimeSupport,resolveMemberAccess,8.0,4.0,[111;113]
115,io.github.tt432.eyelib.molang.compiler.Molang$Expr$8c0185bf/0x0000015e4e1cc400,evaluate,8.0,4.0,[114]
116,java.lang.invoke.LambdaForm$DMH/0x0000015e4c218000,invokeVirtual,8.0,4.0,[115]
117,java.lang.invoke.LambdaForm$MH/0x0000015e4e42d400,invoke,8.0,4.0,[116]
118,java.lang.invoke.LambdaForm$MH/0x0000015e4e028400,invoke_MT,8.0,4.0,[117]
119,io.github.tt432.eyelib.molang.compiler.MolangCompilerImpl$HiddenMolangExpression,evaluate,8.0,4.0,[118]
120,io.github.tt432.eyelib.molang.compiler.CompiledMolangExpression,apply,8.0,4.0,[119]
121,io.github.tt432.eyelib.molang.MolangValue$$Lambda$6805/0x0000015e4cecb5a0,apply,8.0,4.0,[120]
122,io.github.tt432.eyelib.molang.MolangValue,getObject,8.0,4.0,[121]
123,io.github.tt432.eyelib.molang.MolangValue,eval,8.0,4.0,[122]
124,io.github.tt432.eyelib.molang.MolangValue3,getZ,8.0,4.0,[123]
125,io.github.tt432.eyelib.molang.MolangValue3,eval,28.0,8.0,[40;92;124]
126,io.github.tt432.eyelib.particle.runtime.bedrock.component.emitter.shape.EmitterShapeBox,lambda$getEmitPosition$1,28.0,8.0,[125]
127,io.github.tt432.eyelib.particle.runtime.bedrock.component.emitter.shape.EmitterShapeBox$$Lambda$11705/0x0000015e4e1d6d18,eval,28.0,8.0,[126]
128,jdk.internal.misc.Unsafe,allocateInstance,4.0,4.0,[]
129,java.lang.invoke.DirectMethodHandle,allocateInstance,4.0,4.0,[128]
130,java.lang.invoke.DirectMethodHandle$Holder,newInvokeSpecial,4.0,4.0,[129]
131,java.lang.invoke.Invokers$Holder,linkToTargetMethod,4.0,4.0,[130]
132,io.github.tt432.eyelib.particle.runtime.bedrock.component.emitter.shape.EmitterShapeBox,getEmitPosition,4.0,4.0,[131]
133,java.util.stream.AbstractPipeline,wrapSink,4.0,0.0,[]
134,java.util.stream.AbstractPipeline,wrapAndCopyInto,4.0,0.0,[133]
